epoch 1	train loss: 8.019301193105873	test loss: 10.471872038021683
epoch 2	train loss: 7.198438120311125	test loss: 9.425079122371972
epoch 3	train loss: 6.256445101816826	test loss: 6.508523789048195
epoch 4	train loss: 4.931549442112964	test loss: 7.598909487016499
epoch 5	train loss: 4.22099498416445	test loss: 7.560581266134977
epoch 6	train loss: 3.8806611068453805	test loss: 5.90047484152019
epoch 7	train loss: 3.6806680102562543	test loss: 8.523192312195897
epoch 8	train loss: 3.495402320680127	test loss: 4.988463223166764
epoch 9	train loss: 3.2945625480680705	test loss: 6.611642868071795
epoch 10	train loss: 3.1768364533238893	test loss: 10.064831685647368
epoch 11	train loss: 3.000292162659056	test loss: 4.602844662219286
epoch 12	train loss: 2.870409030871346	test loss: 3.685822298377752
epoch 13	train loss: 2.7168212921820167	test loss: 6.2801226550713185
epoch 14	train loss: 2.6412752636981978	test loss: 3.0844399915076792
epoch 15	train loss: 2.542480454619952	test loss: 3.129079524241388
epoch 16	train loss: 2.43604290149888	test loss: 3.277706319373101
epoch 17	train loss: 2.424584675440537	test loss: 4.620764555595815
epoch 18	train loss: 2.3945351906385746	test loss: 2.7615641456097366
epoch 19	train loss: 2.292263032830435	test loss: 2.821310202870518
epoch 20	train loss: 2.2766820141891544	test loss: 3.0679695181548596
epoch 21	train loss: 2.242453527454479	test loss: 2.613476653769612
epoch 22	train loss: 2.1979967172694024	test loss: 2.7806276116520166
epoch 23	train loss: 2.1545422970634824	test loss: 3.6694961907342076
epoch 24	train loss: 2.1411656453255916	test loss: 2.72274017566815
epoch 25	train loss: 2.108090957974981	test loss: 2.563398497924209
epoch 26	train loss: 2.083923399402877	test loss: 2.783161276765168
epoch 27	train loss: 2.047296700635274	test loss: 2.5608563052956015
epoch 28	train loss: 2.0511272425274476	test loss: 2.854386712796986
epoch 29	train loss: 2.041255915856791	test loss: 2.603168218676001
epoch 30	train loss: 2.0047924212698773	test loss: 2.4462067036889494
epoch 31	train loss: 1.9932651419185103	test loss: 2.547630455903709
epoch 32	train loss: 1.9812737576512733	test loss: 2.9780101066455247
epoch 33	train loss: 1.9520195421653936	test loss: 2.3877323587425052
epoch 34	train loss: 1.9430403850058295	test loss: 2.7484818219207225
epoch 35	train loss: 1.9266017865316758	test loss: 3.1881018252111972
epoch 36	train loss: 1.911698439978579	test loss: 4.212796698138118
epoch 37	train loss: 1.900942066376775	test loss: 2.6016263009980323
epoch 38	train loss: 1.8710262208557837	test loss: 2.4282512275502084
epoch 39	train loss: 1.862434833601031	test loss: 2.449630775395781
epoch 40	train loss: 1.8720592848566373	test loss: 2.8323196235112844
epoch 41	train loss: 1.847869754296488	test loss: 2.572577742766589
epoch 42	train loss: 1.8337857894969374	test loss: 2.3373431260697544
