epoch 1	train loss: 7.445462689877342	test loss: 10.91513987928629
epoch 2	train loss: 6.853249417934059	test loss: 14.419372868537902
epoch 3	train loss: 6.632075938635332	test loss: 9.713237255066634
epoch 4	train loss: 5.885906265169988	test loss: 8.133448979258537
epoch 5	train loss: 5.035206227720703	test loss: 10.293492108210922
epoch 6	train loss: 4.32560690460242	test loss: 5.671873817592859
epoch 7	train loss: 3.873330064581156	test loss: 8.134862709790468
epoch 8	train loss: 3.545882384506715	test loss: 5.191286789625883
epoch 9	train loss: 3.4986105566398544	test loss: 4.729709285870195
epoch 10	train loss: 3.1346747113062237	test loss: 7.262586679495871
epoch 11	train loss: 3.0849429209960344	test loss: 10.083782557025552
epoch 12	train loss: 2.9050396068364557	test loss: 4.054118735343218
epoch 13	train loss: 2.867635325800961	test loss: 5.012830246053636
epoch 14	train loss: 2.6568679287406214	test loss: 5.366959282197058
epoch 15	train loss: 2.3951189016391714	test loss: 3.5872293427586555
epoch 16	train loss: 2.3930786406832443	test loss: 7.965174484439194
epoch 17	train loss: 2.548286971169214	test loss: 3.9133665373548867
epoch 18	train loss: 2.3823601432063675	test loss: 9.686972279287875
epoch 19	train loss: 2.1940667642464184	test loss: 3.816734076291323
epoch 20	train loss: 2.244363601167697	test loss: 3.1083775193430485
epoch 21	train loss: 2.198741868999428	test loss: 3.0919954787939785
epoch 22	train loss: 2.153107406328677	test loss: 2.963100687135011
epoch 23	train loss: 2.1358258020996517	test loss: 10.463071128726005
epoch 24	train loss: 2.1651194147261217	test loss: 3.012286640983075
epoch 25	train loss: 2.0062420366733873	test loss: 2.7670116084162144
epoch 26	train loss: 2.0519600721133786	test loss: 3.287797141261399
epoch 27	train loss: 1.928975377288975	test loss: 2.809422331210226
epoch 28	train loss: 1.9419415212578142	test loss: 3.056254081334919
epoch 29	train loss: 1.9106256728477378	test loss: 3.3744080936536194
epoch 30	train loss: 1.9772274996312909	test loss: 2.647910965420306
epoch 31	train loss: 1.8724330380452483	test loss: 4.636556627508253
epoch 32	train loss: 1.846412961361174	test loss: 2.496028181351721
epoch 33	train loss: 1.9056940480376832	test loss: 3.25148964272812
epoch 34	train loss: 1.841412505636533	test loss: 4.01994109954685
epoch 35	train loss: 1.8827418317682865	test loss: 4.706795179843903
epoch 36	train loss: 1.8911436876473546	test loss: 9.633980687707663
epoch 37	train loss: 1.855086611940937	test loss: 3.677508589532226
epoch 38	train loss: 1.7777885000633298	test loss: 7.902829267270863
epoch 39	train loss: 1.8356557849110342	test loss: 3.051228265091777
epoch 40	train loss: 1.7592857967717606	test loss: 2.6370276494883003
